No.,Data,Topics,Theme
1,Concise material and clear notes.,13,Good organization
2,"She makes great, great powerpoints that are informative and helpful for the exams and weekly quizzes",4,Powerpoints slides
3,Definitely one of my favorite professors :),11,Best/Great professor
4,"Great powerpoint lectures, very well prepared, interesting assignments, and great examples.",4,Powerpoints slides
5,Helping us understand something when we ask about it.,5,Helpful/helping students
6,"Interests, the powerpoints, the class demonstrations.",4,Powerpoints slides
7,"Nice powerpoints, clear and easy to read and understand",4,Powerpoints slides
8,"Powerpoints, explains concepts extremely well, fair tests",4,Powerpoints slides
9,Professor Ferguson has many strengths,11,Best/Great professor
10,She is definitely an extremely motivated professor and wants what's best for her students,8,Cares about students/wants students to do well
11,"She's also very easy to talk to, so asking questions during lecture or office hours is never a problem.",16,Personality - nice/sweet/funny
12,She also makes sure that her students understand the material being taught by asking often and by going over certain concepts a couple of times through,5,Helpful/helping students
13,Her lectures are very interesting,12,Class is engaging/interesting
14,She explains the lecture really well.,3,Clear explanations/lectures
15,She makes things very clear and easy to understand.,3,Clear explanations/lectures
16,"She presents lecture material in an engaging manner, with slideshows, videos, and visuals that stimulate understanding",12,Class is engaging/interesting
17,She is very knowledgeable about the course material and is interested in helping the students.,5,Helpful/helping students
18,She is very knowledgeable about the subject and is open to adjusting the course to students.,21,Accepts critique/responds to needs
19,"She takes the time to fully explain the main points of lectures and provides examples- graphs, pictures, or real-life scenarios-that help enhance the learning experience.",9,Examples/Demos/Real life connection
20,"Also, she has iClicker questions, which makes students pay attention to the material being presented",2,iClickers
21,The slides were helpful and clear.,4,Powerpoints slides
22,She uses a lot of pictures and videos to make sure students understand the concepts.,9,Examples/Demos/Real life connection
23,She uses demonstrations to show the class how concepts work in the real world,9,Examples/Demos/Real life connection
24,Showing models in class to help students understand concepts.,9,Examples/Demos/Real life connection
25,More emphasis on the major points.,23,Improve lecture
26,She may need to speak up a little bit since there are 300 students in the class.,15,Speak louder
27,I feel really bad for her because it seems like some students are not taking the class seriously and are disruptive,20,Disruptive/ed classroom
28,It would be great if she could establish a more focused and respectful classroom environment.,20,Disruptive/ed classroom
29,The professor's lectures are clear and well-organized.,13,Good organization
30,Gives us enough work to keep us actively learning.,12,Class is engaging/interesting
31,"Very organized notes, gave videos during class, provided quizzes and homework that applied to what we were doing, good explanations and lectures, provided many visual images, provided reviews for finals and midterms.",13,Good organization
32,I loved the class interaction because it kept me awake and interested in the class,12,Class is engaging/interesting
33,Make the readings after the second midterm spaced out better,17,Issues with readings
34,explains things clearly - makes sure that students understand material - provides visual demonstrations for better understanding - stimulates good learning environment (makes sure other students are quiet) - seems to enjoy teaching the subject,3,Clear explanations/lectures
35,"Clear, great listener, makes herself very available to students.",21,Accepts critique/responds to needs
36,"Clear explanations, good use of website, and wanting to help students learn more.",3,Clear explanations/lectures
37,explains well good enthusiasm,3,Clear explanations/lectures
38,Explanation is very clear.,3,Clear explanations/lectures
39,Finding useful and interactive materials from the internet and using her personal experiences to make the lectures more digestible.,9,Examples/Demos/Real life connection
40,"If a lot of people didn’t get it or there was a mix of answers, we’d go over the material again",5,Helpful/helping students
41,Seems to care about the students.,8,Cares about students/wants students to do well
42,Helpful and states the lecture clearly in class.,3,Clear explanations/lectures
43,Also giving us so many chances and opportunities to get a good grade and do well.,8,Cares about students/wants students to do well
44,"In a large class, still doing demonstrations is very helpful and lots of iClicker questions!",9,Examples/Demos/Real life connection
45,Interaction and understanding of concepts and definitions.,12,Class is engaging/interesting
46,Interactive with students with a good use of iClicker questions requiring participation.,2,iClickers
47,i like how she includes iclickers in her lectures (but you don’t have to get them all right...),2,iClickers
48,Taught in a way that’s understandable and the clicker questions helped a lot with understanding,2,iClickers
49,iClicker questions help us really learn the material.,2,iClickers
50,"Encouraging students to participate, also the use of the iClickers.",2,iClickers
51,She had a lot of opportunities for us to do better with the quizzes and homework.,8,Cares about students/wants students to do well
52,She asks for questions in class and does her best to check for understanding with iClicker questions.,2,iClickers
53,"She does class demonstrations, and the clicker questions are useful too.",9,Examples/Demos/Real life connection
54,She has very good PowerPoint presentations that go over the most important parts of the book we should really understand,4,Powerpoints slides
55,She is very nice and approachable and really cares about our experience in her course,8,Cares about students/wants students to do well
56,She created this Facebook group to share with us information outside of class which is pretty cool because I got to think about the class material outside of class and even saw myself explaining certain things about the Earth to my friends and family.,9,Examples/Demos/Real life connection
57,"Bottom line: it makes life easier on exam day, saves time and trouble.",18,Easier/better exams
58,iClickers allow me to stay up.,2,iClickers
59,She can make the lecture more interesting.,23,Improve lecture
60,The use of iClickers is helpful for class participation.,2,iClickers
61,Lecture layouts and good at engaging class.,12,Class is engaging/interesting
62,She is also very patient.,16,Personality - nice/sweet/funny
63,She explains very well and incorporates real-world examples that help me better understand the topic,9,Examples/Demos/Real life connection
64,"When I go to her for help, she further explains in a thorough manner.",5,Helpful/helping students
65,She has an accent.,19,Accent
66,She is very clear in her explanations.,3,Clear explanations/lectures
67,She is very clear in what she wants from her students and on what is going to be on the tests.,4,Clear explanations/lectures
68,Cares a lot about her students learning the topic and is very willing to go over the material,8,Cares about students/wants students to do well
69,"Also, she always teaches with a smile and a positive attitude.",16,Personality - nice/sweet/funny
70,The instructor teaches at a moderate pace and tries to make sure everyone understands the most important materials,3,Clear explanations/lectures
71,Now I am discouraged to read at all because that is almost impossible/impractical.,17,Issues with readings
72,"It wastes valuable time that would have been used to take the test for those who voluntarily choose to and have to move, after all they should not feel that they are being punished in terms of having less time to work on their exams for being willing to move)",14,Seating issues
73,Maybe go slower and go more in-depth on harder sections.,1,Slow down teaching
74,"Slow down, explain your points more clearly, concepts are completely lost in the midst of all your rapid speech chock-full of technical ESS vocabulary.",1,Slow down teaching
75,Slow down in lectures.,1,Slow down teaching
76,Slowwwww dowwwwnnnn it's hard to keep up with the slides,1,Slow down teaching
77,And maybe talk louder?,15,Speak louder
78,"Start the class right away! Frankly, we spent way too much time getting class started and ended up rushing through very important topics at the end of the lectures when everyone is bored and is dying to get out of there",23,Improve lecture
